customer_id,tenure,internet_service,contract_type,payment_method,paperless_billing,senior_citizen,partner,dependents,online_security,tech_support,multiple_lines,monthly_charges,total_charges,churn
C100017,8,DSL,Two year,Electronic check,Yes,0,Yes,No,No,Yes,Yes,52.92556292,387.9748587,No
C100018,6,DSL,Month-to-month,Bank transfer (automatic),Yes,0,No,No,Yes,Yes,No,60.6017764,408.890231,No
C100019,3,DSL,Month-to-month,Electronic check,No,0,Yes,No,Yes,Yes,Yes,76.66538021,335.2936877,Yes
C100020,13,DSL,Month-to-month,Credit card (automatic),Yes,0,Yes,No,Yes,No,No,57.51121183,511.4748073,No
C100021,2,DSL,Month-to-month,Mailed check,No,0,No,Yes,Yes,Yes,Yes,73.62220394,35.41406821,No
C100022,4,None,Month-to-month,Mailed check,No,0,Yes,Yes,No,Yes,No,23.77686933,269.5810748,No
C100023,4,DSL,One year,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,Yes,No,55.8084061,269.2653801,No
C100024,7,Fiber optic,Month-to-month,Credit card (automatic),Yes,0,No,Yes,Yes,Yes,Yes,104.213683,688.0331826,Yes
C100025,18,DSL,Month-to-month,Mailed check,Yes,0,No,Yes,No,Yes,Yes,74.54146603,1337.075832,No
C100026,2,None,Month-to-month,Electronic check,Yes,0,No,Yes,No,Yes,Yes,34.16756934,-1.820562996,Yes
C100027,7,None,Month-to-month,Credit card (automatic),Yes,0,Yes,Yes,Yes,No,No,24.77395983,120.5604315,No
C100028,9,Fiber optic,Month-to-month,Electronic check,No,0,Yes,No,Yes,No,Yes,99.76744637,1013.624838,Yes
C100029,0,Fiber optic,Month-to-month,Electronic check,Yes,0,Yes,No,No,Yes,Yes,90.89079042,51.51910857,No
C100030,12,DSL,One year,Bank transfer (automatic),Yes,0,Yes,No,No,No,No,53.78653433,444.6602195,No
C100031,2,None,Month-to-month,Electronic check,No,0,Yes,Yes,No,No,No,39.76187002,24.02136043,Yes
C100032,0,None,One year,Credit card (automatic),Yes,1,Yes,No,Yes,Yes,No,15.71070411,29.28581913,No
C100033,35,None,Month-to-month,Bank transfer (automatic),Yes,0,No,Yes,Yes,Yes,No,35.34033626,1119.182427,No
C100034,40,Fiber optic,Month-to-month,Credit card (automatic),Yes,1,No,No,Yes,Yes,No,85.66061301,3407.097818,Yes
C100035,19,DSL,One year,Electronic check,Yes,0,No,Yes,No,Yes,Yes,67.97916906,1219.164682,No
C100036,4,None,Month-to-month,Credit card (automatic),No,0,No,No,Yes,Yes,Yes,40.62286007,306.1106534,No
C100037,1,DSL,Month-to-month,Electronic check,No,0,Yes,Yes,No,Yes,No,64.43755556,119.6413308,Yes
C100038,14,Fiber optic,Two year,Electronic check,Yes,0,No,No,No,Yes,No,81.82091649,973.4810471,No
C100039,6,DSL,Month-to-month,Electronic check,Yes,0,No,No,No,Yes,Yes,73.62074899,459.974819,Yes
C100040,1,None,Month-to-month,Mailed check,Yes,0,Yes,No,Yes,Yes,Yes,30.09582195,24.74652113,No
C100041,8,DSL,One year,Electronic check,No,0,No,No,Yes,Yes,Yes,63.04605674,487.0184232,No
C100042,0,DSL,One year,Bank transfer (automatic),No,0,No,Yes,Yes,No,No,44.00214891,31.2576875,Yes
C100043,28,Fiber optic,Month-to-month,Credit card (automatic),Yes,0,Yes,Yes,Yes,No,No,91.50970708,2509.274418,Yes
C100044,4,Fiber optic,Month-to-month,Electronic check,Yes,0,Yes,Yes,No,Yes,Yes,99.10313144,360.4422584,Yes
C100045,13,Fiber optic,Two year,Bank transfer (automatic),No,0,Yes,No,No,No,Yes,83.25719366,1148.188032,No
C100046,3,Fiber optic,Month-to-month,Electronic check,Yes,0,No,Yes,No,Yes,Yes,76.84193405,196.692082,Yes
C100047,9,DSL,Month-to-month,Credit card (automatic),Yes,0,Yes,No,No,No,Yes,65.89114941,506.311686,Yes
C100048,7,Fiber optic,Month-to-month,Bank transfer (automatic),No,0,No,No,No,Yes,Yes,93.20164667,807.5590559,Yes
C100049,4,None,Two year,Credit card (automatic),Yes,0,Yes,No,No,Yes,Yes,22.77771541,48.72519086,No
C100050,41,None,Month-to-month,Mailed check,Yes,0,Yes,Yes,No,No,Yes,42.69895187,1848.148888,No
C100051,17,Fiber optic,One year,Credit card (automatic),Yes,0,Yes,No,No,No,Yes,87.46574454,1481.899874,No
C100052,33,None,Month-to-month,Bank transfer (automatic),No,0,Yes,Yes,Yes,Yes,Yes,36.8792572,1205.114627,No
C100053,27,Fiber optic,Month-to-month,Credit card (automatic),Yes,0,Yes,No,Yes,No,No,93.06043971,2615.325835,Yes
C100054,10,Fiber optic,One year,Electronic check,Yes,0,No,No,No,No,No,89.62407873,822.3707148,Yes
C100055,30,Fiber optic,Two year,Bank transfer (automatic),Yes,0,Yes,No,Yes,Yes,No,82.65881504,2367.773429,No
C100056,2,Fiber optic,Month-to-month,Credit card (automatic),No,0,No,No,Yes,No,No,91.95750374,266.583971,Yes
C100057,2,Fiber optic,Month-to-month,Electronic check,Yes,0,No,No,Yes,No,No,99.32824231,50.42521022,Yes
C100058,0,Fiber optic,Two year,Bank transfer (automatic),Yes,0,Yes,No,No,Yes,Yes,83.10262946,23.91756896,No
C100059,4,DSL,One year,Credit card (automatic),Yes,0,No,No,No,Yes,Yes,62.69908819,214.2583524,No
C100060,5,DSL,Month-to-month,Bank transfer (automatic),Yes,0,No,Yes,No,No,No,54.74908309,300.7098313,Yes
C100061,3,DSL,Month-to-month,Electronic check,No,0,No,Yes,Yes,No,Yes,81.36416482,205.0092317,Yes
C100062,21,Fiber optic,One year,Bank transfer (automatic),Yes,0,Yes,No,No,Yes,Yes,93.65971224,1911.079859,No
C100063,5,DSL,One year,Electronic check,No,0,Yes,No,No,Yes,Yes,64.76053862,356.3380768,No
C100064,3,DSL,Two year,Credit card (automatic),No,1,No,Yes,Yes,Yes,No,42.17167233,212.0351019,No
C100065,9,Fiber optic,Month-to-month,Electronic check,No,0,Yes,No,No,No,Yes,102.5493865,865.2343929,Yes
C100066,0,Fiber optic,Month-to-month,Electronic check,Yes,1,Yes,No,No,No,Yes,101.9704994,110.7900073,Yes
C100067,19,Fiber optic,One year,Electronic check,Yes,1,Yes,No,Yes,Yes,No,76.45992631,1475.405555,No
C100068,0,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,Yes,No,92.11040924,-15.37260851,Yes
C100069,52,None,Month-to-month,Credit card (automatic),No,1,Yes,No,Yes,Yes,Yes,32.75560939,1562.175811,No
C100070,16,None,Month-to-month,Electronic check,No,1,Yes,No,No,No,Yes,47.62479459,736.3386237,No
C100071,2,None,One year,Electronic check,Yes,0,Yes,No,No,No,No,26.13937961,54.06385097,Yes
C100072,0,Fiber optic,Month-to-month,Mailed check,No,1,Yes,No,Yes,Yes,Yes,102.3504604,12.7961787,No
C100073,19,None,One year,Credit card (automatic),No,0,Yes,No,Yes,Yes,Yes,51.528783,1144.674308,No
C100074,16,Fiber optic,One year,Mailed check,No,0,No,No,No,Yes,Yes,28.08983053,443.4633376,No
C100075,14,DSL,Month-to-month,Electronic check,No,0,No,Yes,Yes,Yes,No,62.91186012,927.8945319,No
C100076,17,DSL,Month-to-month,Bank transfer (automatic),No,0,Yes,No,No,No,Yes,72.37426818,1271.402902,Yes
C100077,0,Fiber optic,Month-to-month,Electronic check,No,0,Yes,No,Yes,Yes,No,87.99607588,-35.62803352,Yes
C100078,5,DSL,One year,Mailed check,Yes,1,Yes,No,No,No,No,45.54102666,318.4870559,No
C100079,1,None,Month-to-month,Electronic check,No,1,No,No,No,No,No,31.67858336,42.26572794,Yes
C100080,22,Fiber optic,One year,Credit card (automatic),Yes,0,No,No,Yes,No,No,87.65214704,2090.90952,No
C100081,11,Fiber optic,Month-to-month,Credit card (automatic),Yes,0,Yes,Yes,Yes,No,No,84.44174265,966.9224355,Yes
C100082,4,Fiber optic,Month-to-month,Credit card (automatic),No,1,No,No,No,Yes,No,76.78428462,296.807249,Yes
C100083,1,Fiber optic,One year,Mailed check,No,0,Yes,Yes,No,No,Yes,101.3785576,65.04211513,Yes
C100084,4,DSL,Month-to-month,Bank transfer (automatic),No,1,Yes,No,No,No,Yes,69.73634261,355.8371987,Yes
C100085,6,Fiber optic,Month-to-month,Electronic check,Yes,0,Yes,No,No,Yes,No,83.78845622,336.3552664,Yes
C100086,15,Fiber optic,Month-to-month,Credit card (automatic),Yes,1,Yes,Yes,Yes,No,No,90.73126161,1285.919417,Yes
C100087,12,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,No,No,Yes,No,No,99.01582451,1221.255062,Yes
C100088,25,Fiber optic,Month-to-month,Credit card (automatic),Yes,1,No,No,No,No,No,93.93951648,2361.774165,Yes
C100089,7,DSL,Month-to-month,Electronic check,No,1,No,Yes,No,Yes,Yes,75.06113537,535.4508676,Yes
C100090,1,DSL,One year,Credit card (automatic),Yes,1,No,Yes,No,Yes,Yes,63.22846129,77.56690053,No
C100091,14,DSL,One year,Bank transfer (automatic),Yes,0,Yes,No,Yes,Yes,No,52.33142701,827.8305537,No
C100092,17,Fiber optic,Month-to-month,Mailed check,Yes,0,No,No,No,No,Yes,101.7679211,1653.109716,Yes
C100093,9,None,Month-to-month,Bank transfer (automatic),No,0,Yes,No,Yes,No,Yes,37.30604533,339.5911869,No
C100094,17,None,One year,Credit card (automatic),Yes,0,Yes,No,Yes,No,No,22.38512091,474.6166509,No
C100095,8,Fiber optic,Month-to-month,Credit card (automatic),No,0,No,Yes,No,Yes,No,94.24971133,807.1185031,Yes
C100096,7,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,No,No,Yes,Yes,No,90.34398903,605.1107373,Yes
C100097,6,Fiber optic,Month-to-month,Electronic check,Yes,1,Yes,No,No,Yes,No,82.60975099,515.0476608,Yes
C100098,0,DSL,Two year,Credit card (automatic),No,0,Yes,Yes,Yes,Yes,Yes,60.4058261,-34.47913732,Yes
C100099,1,DSL,Month-to-month,Bank transfer (automatic),Yes,1,Yes,No,No,No,Yes,77.06555517,132.7424772,Yes
C100100,1,None,Two year,Electronic check,Yes,0,No,No,Yes,No,No,14.93394947,9.655055701,Yes
C100101,12,Fiber optic,Month-to-month,Electronic check,No,0,No,No,Yes,Yes,Yes,106.2326995,1186.189269,Yes
C100102,4,None,Month-to-month,Electronic check,No,1,No,No,No,Yes,No,30.07525009,147.8106914,Yes
C100103,8,DSL,Month-to-month,Electronic check,No,0,Yes,No,No,Yes,Yes,60.80946346,505.1391492,Yes
C100104,29,DSL,One year,Mailed check,No,0,No,Yes,Yes,Yes,No,85.30571331,2331.936651,No
C100105,4,DSL,Month-to-month,Electronic check,Yes,0,Yes,No,No,Yes,No,55.33097466,143.3166557,Yes
C100106,6,DSL,Two year,Electronic check,Yes,0,Yes,No,No,No,Yes,62.34344642,316.6885862,No
C100107,16,Fiber optic,Month-to-month,Mailed check,Yes,0,No,Yes,No,No,Yes,102.3760235,1522.497513,No
C100108,4,DSL,One year,Bank transfer (automatic),No,0,No,No,No,Yes,No,54.41432705,140.6675587,No
C100109,1,DSL,Month-to-month,Electronic check,No,1,No,Yes,No,Yes,No,62.06183868,41.04567071,Yes
C100110,3,DSL,Two year,Electronic check,Yes,0,No,Yes,No,Yes,Yes,57.4238744,289.1343089,No
C100111,1,DSL,One year,Electronic check,Yes,0,No,Yes,Yes,No,Yes,57.12204592,220.7458424,No
C100112,31,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,No,Yes,No,No,Yes,102.8328749,3281.669056,Yes
C100113,17,DSL,One year,Electronic check,No,0,No,Yes,No,Yes,No,75.91829563,1407.137476,No
C100114,12,DSL,Month-to-month,Bank transfer (automatic),Yes,0,Yes,No,No,Yes,Yes,78.64522697,853.8053942,Yes
C100115,25,DSL,Month-to-month,Electronic check,No,0,Yes,No,Yes,Yes,No,57.75970806,1297.891602,No
C100116,18,DSL,Month-to-month,Electronic check,No,0,Yes,Yes,Yes,Yes,Yes,60.34414792,1186.234682,No
C100117,2,Fiber optic,Month-to-month,Mailed check,No,1,No,No,Yes,Yes,Yes,97.69953549,191.7351587,Yes
C100118,26,DSL,Month-to-month,Electronic check,Yes,0,No,No,No,Yes,No,67.20198713,1624.737568,Yes
C100119,10,Fiber optic,Month-to-month,Electronic check,No,0,Yes,No,No,No,Yes,113.5456951,936.7230322,Yes
C100120,19,DSL,One year,Electronic check,No,0,No,Yes,Yes,Yes,Yes,51.6097726,1009.914844,No
C100121,28,DSL,Two year,Electronic check,Yes,0,Yes,No,No,No,No,44.17948252,1327.583124,No
C100122,4,None,Two year,Credit card (automatic),Yes,0,Yes,Yes,No,No,Yes,21.37602132,8.27964711,No
C100123,1,Fiber optic,Month-to-month,Electronic check,No,0,No,Yes,Yes,Yes,No,82.82861861,135.0632202,Yes
C100124,3,DSL,One year,Credit card (automatic),No,0,Yes,No,Yes,Yes,No,38.71297067,133.1294516,No
C100125,6,None,Month-to-month,Credit card (automatic),Yes,0,Yes,No,No,Yes,No,20.29602084,73.42873876,No
C100126,20,Fiber optic,One year,Credit card (automatic),Yes,0,No,Yes,No,No,Yes,95.35611636,2031.274526,No
C100127,23,None,Month-to-month,Electronic check,Yes,0,Yes,No,No,Yes,Yes,36.14981051,755.667927,No
C100128,0,Fiber optic,Month-to-month,Credit card (automatic),No,1,No,Yes,No,No,No,76.31975748,-6.956339252,No
C100129,8,Fiber optic,One year,Electronic check,No,0,Yes,Yes,Yes,No,No,78.23582371,694.5496843,No
C100130,7,Fiber optic,Month-to-month,Electronic check,Yes,0,No,No,Yes,No,No,35.26016744,271.6513503,Yes
C100131,3,DSL,Month-to-month,Electronic check,Yes,0,No,No,Yes,Yes,No,65.58390593,155.7352503,Yes
C100132,1,Fiber optic,One year,Credit card (automatic),No,0,No,No,Yes,No,Yes,95.37271372,132.8926502,No
C100133,4,Fiber optic,Month-to-month,Bank transfer (automatic),No,0,Yes,No,No,Yes,Yes,109.6606912,356.2390485,Yes
C100134,34,DSL,Month-to-month,Credit card (automatic),No,0,Yes,No,Yes,No,No,64.55677244,2220.898218,No
C100135,4,DSL,Month-to-month,Electronic check,No,0,No,Yes,Yes,Yes,No,50.89076079,263.7654742,Yes
C100136,8,DSL,Month-to-month,Credit card (automatic),Yes,0,Yes,No,Yes,No,Yes,64.50392944,499.3739394,Yes
C100137,14,Fiber optic,Month-to-month,Credit card (automatic),No,0,Yes,Yes,No,Yes,No,89.36288274,1274.738959,Yes
C100138,5,Fiber optic,One year,Electronic check,Yes,0,No,No,No,Yes,No,80.7824338,499.4830261,Yes
C100139,42,Fiber optic,Month-to-month,Bank transfer (automatic),No,1,Yes,No,No,Yes,No,97.28807622,3846.297641,Yes
C100140,39,DSL,One year,Credit card (automatic),Yes,0,No,No,Yes,Yes,Yes,73.01532219,2908.468316,No
C100141,3,Fiber optic,Month-to-month,Credit card (automatic),No,0,Yes,No,Yes,Yes,Yes,94.78350951,285.9974652,Yes
C100142,7,None,Month-to-month,Electronic check,No,0,Yes,No,No,No,No,15.86617929,101.2121113,No
C100143,2,Fiber optic,One year,Mailed check,Yes,0,Yes,No,No,Yes,Yes,79.72185917,241.0822679,No
C100144,4,Fiber optic,One year,Bank transfer (automatic),Yes,0,Yes,Yes,Yes,Yes,No,86.51635251,375.8699218,No
C100145,0,Fiber optic,One year,Electronic check,Yes,0,Yes,No,No,Yes,No,80.7781504,8.053600207,No
C100146,11,Fiber optic,Two year,Credit card (automatic),No,0,No,No,No,Yes,Yes,76.30155865,833.2440146,No
C100147,8,Fiber optic,Month-to-month,Electronic check,No,0,No,No,Yes,Yes,No,87.41658646,672.0179858,Yes
C100148,0,None,Month-to-month,Bank transfer (automatic),No,0,No,No,No,Yes,Yes,35.0137555,-4.978851944,No
C100149,3,Fiber optic,Two year,Electronic check,Yes,0,Yes,Yes,Yes,Yes,No,73.397745,213.1774705,No
C100150,29,None,Month-to-month,Electronic check,Yes,0,No,No,No,No,Yes,28.26918534,840.1479519,No
C100151,3,DSL,Month-to-month,Electronic check,Yes,0,No,No,No,No,No,60.60516699,274.7560185,Yes
C100152,2,DSL,Month-to-month,Credit card (automatic),Yes,0,Yes,No,No,No,Yes,72.74261857,124.4321777,Yes
C100153,8,DSL,One year,Electronic check,No,0,Yes,No,Yes,No,Yes,59.66168765,498.816458,No
C100154,50,Fiber optic,Month-to-month,Credit card (automatic),No,0,No,No,No,Yes,No,88.54404294,4533.710148,Yes
C100155,3,Fiber optic,Month-to-month,Credit card (automatic),Yes,0,No,Yes,No,No,Yes,101.8228892,316.6547137,Yes
C100156,14,DSL,Month-to-month,Bank transfer (automatic),No,0,No,No,No,No,No,60.4080956,759.3969375,Yes
C100157,17,DSL,One year,Electronic check,Yes,1,No,No,No,Yes,No,40.54368794,686.2436767,No
C100158,2,None,Month-to-month,Electronic check,Yes,0,Yes,Yes,No,No,No,26.17602586,111.6991097,Yes
C100159,14,None,Month-to-month,Mailed check,Yes,0,No,Yes,No,No,No,29.08694592,507.6852524,No
C100160,6,Fiber optic,One year,Electronic check,Yes,0,No,Yes,No,Yes,No,76.53055725,370.2605362,Yes
C100161,12,Fiber optic,Two year,Bank transfer (automatic),No,0,Yes,Yes,No,Yes,No,79.72120499,954.8601024,No
C100162,12,Fiber optic,One year,Credit card (automatic),Yes,0,No,Yes,No,No,Yes,80.23390628,1020.72434,No
C100163,10,Fiber optic,One year,Electronic check,Yes,0,No,No,No,No,Yes,103.7313875,992.0316702,Yes
C100164,0,None,Month-to-month,Bank transfer (automatic),No,1,No,No,No,No,No,38.60713259,29.53967394,Yes
C100165,21,DSL,Month-to-month,Credit card (automatic),No,1,No,No,No,No,Yes,68.7606196,1478.724702,Yes
C100166,4,Fiber optic,Month-to-month,Credit card (automatic),Yes,0,Yes,Yes,No,Yes,Yes,94.83882348,436.0688482,Yes
C100167,2,DSL,One year,Credit card (automatic),Yes,0,Yes,Yes,No,No,Yes,59.17135352,83.56088612,No
C100168,0,Fiber optic,Month-to-month,Credit card (automatic),Yes,0,Yes,No,Yes,Yes,No,96.13866678,57.7656819,No
C100169,9,Fiber optic,One year,Bank transfer (automatic),Yes,1,No,No,Yes,Yes,No,77.57500199,788.2586095,No
C100170,12,Fiber optic,Two year,Credit card (automatic),Yes,0,No,No,No,Yes,Yes,88.86502382,1145.299715,No
C100171,1,DSL,Month-to-month,Credit card (automatic),No,0,No,No,Yes,No,No,61.60938996,10.15837389,No
C100172,8,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,No,No,No,No,Yes,101.62327,875.1493764,Yes
C100173,3,DSL,Month-to-month,Electronic check,Yes,0,No,Yes,Yes,Yes,No,60.91021271,55.67961006,Yes
C100174,12,DSL,Month-to-month,Mailed check,No,0,No,Yes,No,Yes,Yes,64.37528964,883.4210289,No
C100175,2,DSL,Month-to-month,Electronic check,No,0,No,Yes,No,No,Yes,77.57806368,50.00536296,Yes
C100176,13,Fiber optic,Two year,Electronic check,Yes,0,Yes,Yes,Yes,No,Yes,87.38460451,1146.381849,No
C100177,4,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,No,No,No,Yes,Yes,108.1823827,624.7855548,Yes
C100178,33,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,1,Yes,No,No,Yes,Yes,99.49811019,3265.518972,Yes
C100179,1,Fiber optic,Month-to-month,Mailed check,Yes,0,No,Yes,No,Yes,No,91.83845839,69.6168887,Yes
C100180,5,Fiber optic,Two year,Electronic check,Yes,0,No,No,No,No,Yes,97.00527154,547.4252429,Yes
C100181,1,Fiber optic,One year,Credit card (automatic),Yes,0,No,Yes,Yes,Yes,No,82.08630066,42.61601265,No
C100182,30,Fiber optic,Two year,Electronic check,Yes,1,Yes,No,No,Yes,No,80.21216724,2517.889285,No
C100183,24,Fiber optic,Two year,Electronic check,Yes,0,Yes,No,No,Yes,Yes,79.27519212,1806.290986,No
C100184,5,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,Yes,Yes,No,Yes,No,88.87248321,236.7618398,Yes
C100185,13,Fiber optic,Month-to-month,Mailed check,No,0,No,No,Yes,No,No,88.4302706,1031.020784,Yes
C100186,20,None,Month-to-month,Electronic check,Yes,0,No,Yes,No,No,No,33.72062412,656.3966461,No
C100187,9,None,Month-to-month,Electronic check,No,0,Yes,No,No,Yes,No,26.08572503,275.0305123,No
C100188,9,DSL,One year,Credit card (automatic),Yes,0,Yes,No,No,Yes,No,48.74070799,428.1895874,No
C100189,3,DSL,Month-to-month,Bank transfer (automatic),No,0,No,No,Yes,Yes,No,61.8580629,262.2496161,No
C100190,2,Fiber optic,Month-to-month,Mailed check,Yes,0,Yes,No,Yes,No,No,82.63912474,86.82998886,Yes
C100191,27,DSL,One year,Electronic check,Yes,1,No,No,No,Yes,No,52.33223694,1276.44846,No
C100192,27,DSL,One year,Bank transfer (automatic),No,0,No,Yes,Yes,Yes,No,46.78307442,1204.665344,No
C100193,12,None,One year,Credit card (automatic),No,0,No,No,Yes,No,Yes,29.72085871,363.6431052,No
C100194,4,DSL,Month-to-month,Bank transfer (automatic),No,0,Yes,No,No,No,Yes,69.62379184,323.3840685,Yes
C100195,5,None,One year,Credit card (automatic),No,0,Yes,No,Yes,No,No,34.45333828,189.9570277,No
C100196,15,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,Yes,No,No,No,No,94.6170057,1451.42176,Yes
C100197,27,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,No,Yes,No,No,Yes,95.79514734,2489.367308,Yes
C100198,26,DSL,One year,Credit card (automatic),Yes,0,Yes,No,Yes,Yes,No,46.27109264,1193.936591,No
C100199,17,DSL,Two year,Credit card (automatic),Yes,0,No,Yes,No,No,No,43.14297055,867.7130167,No
C100200,12,Fiber optic,Month-to-month,Credit card (automatic),No,0,No,Yes,No,No,Yes,91.70783542,1158.154767,Yes
C100201,1,DSL,Month-to-month,Mailed check,Yes,0,No,No,Yes,No,No,65.74203931,8.729798776,Yes
C100202,0,DSL,Month-to-month,Credit card (automatic),No,0,Yes,No,No,No,No,56.24885117,168.05879,Yes
C100203,27,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,Yes,No,Yes,No,No,56.06021587,1601.528731,No
C100204,10,DSL,Two year,Credit card (automatic),Yes,0,Yes,No,Yes,No,Yes,55.69516842,648.7400045,No
C100205,0,DSL,One year,Electronic check,Yes,0,No,No,Yes,Yes,No,69.98832706,37.65969569,No
C100206,1,Fiber optic,One year,Bank transfer (automatic),Yes,0,Yes,No,No,Yes,Yes,89.19335233,178.8961373,Yes
C100207,13,DSL,One year,Credit card (automatic),No,0,Yes,No,No,No,Yes,69.94753194,848.1511233,No
C100208,0,DSL,Month-to-month,Electronic check,No,0,No,No,Yes,Yes,Yes,70.05354904,-8.283962594,No
C100209,2,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,Yes,No,No,Yes,Yes,105.7095689,145.3411684,Yes
C100210,9,None,Month-to-month,Credit card (automatic),No,1,No,Yes,Yes,No,No,23.88320732,197.4610164,No
C100211,15,DSL,One year,Electronic check,Yes,0,Yes,No,Yes,Yes,Yes,70.14586968,1017.560443,Yes
C100212,12,DSL,Month-to-month,Mailed check,No,0,No,No,Yes,No,Yes,64.6262626,753.5674005,No
C100213,4,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,1,Yes,No,Yes,Yes,Yes,102.0220348,328.1683037,Yes
C100214,14,None,One year,Bank transfer (automatic),Yes,0,No,No,No,No,Yes,32.2522806,513.5245494,No
C100215,3,Fiber optic,Month-to-month,Electronic check,Yes,0,Yes,No,No,Yes,No,92.810503,227.0871933,Yes
C100216,4,Fiber optic,One year,Electronic check,Yes,0,No,Yes,No,No,No,80.11167156,328.2185476,Yes
C100217,15,DSL,Month-to-month,Electronic check,Yes,1,Yes,No,Yes,Yes,No,58.28795179,937.1912795,Yes
C100218,12,Fiber optic,One year,Electronic check,Yes,0,No,No,Yes,No,Yes,93.15545299,1183.64883,Yes
C100219,21,DSL,Two year,Electronic check,Yes,1,No,Yes,No,Yes,Yes,47.01109142,923.4843245,No
C100220,13,Fiber optic,Month-to-month,Credit card (automatic),Yes,1,Yes,No,Yes,No,No,105.0505011,1265.071476,Yes
C100221,10,Fiber optic,Two year,Bank transfer (automatic),No,0,Yes,Yes,Yes,No,No,75.85953653,815.7792428,No
C100222,1,None,One year,Credit card (automatic),No,0,Yes,Yes,Yes,Yes,Yes,33.54740916,19.14614991,No
C100223,5,DSL,One year,Electronic check,No,0,No,No,Yes,No,No,52.33205354,342.4438575,No
C100224,3,DSL,One year,Bank transfer (automatic),Yes,0,Yes,No,No,Yes,Yes,55.61302744,227.161177,No
C100225,3,Fiber optic,Month-to-month,Electronic check,Yes,0,No,Yes,Yes,No,No,88.79051264,326.2069219,Yes
C100226,43,Fiber optic,Month-to-month,Credit card (automatic),Yes,0,Yes,No,No,No,Yes,102.9580283,4361.724241,Yes
C100227,5,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,0,No,No,Yes,No,No,85.67701841,305.3559053,Yes
C100228,25,DSL,Month-to-month,Credit card (automatic),Yes,0,No,No,Yes,Yes,Yes,63.71567883,1626.298829,No
C100229,11,DSL,Two year,Electronic check,Yes,1,Yes,No,No,Yes,No,45.16242337,475.5250788,No
C100230,19,Fiber optic,One year,Bank transfer (automatic),Yes,0,No,Yes,No,No,Yes,91.2039865,1691.668409,No
C100231,8,DSL,Month-to-month,Bank transfer (automatic),Yes,0,No,No,No,No,Yes,71.11004266,496.9285103,Yes
C100232,11,None,One year,Credit card (automatic),Yes,0,No,No,Yes,Yes,Yes,35.82238404,493.8400075,No
